id;fecha;valor;fecha_pago
1;2020-04-23T03:04:33;66735;2020-04-22T07:42:00
2;2020-04-22T09:00:26;25896;2020-04-22T21:06:22
3;2020-04-22T14:44:45;17222;2020-04-22T17:58:34
4;2020-04-22T14:29:53;97186;2020-04-22T19:00:48
5;2020-04-22T09:13:31;26606;2020-04-22T16:43:29
6;2020-04-22T19:36:47;87056;2020-04-22T19:41:04
7;2020-04-22T19:19:43;23235;2020-04-22T08:55:03
8;2020-04-23T00:03:48;11237;2020-04-22T14:39:03
9;2020-04-22T11:41:28;67822;2020-04-22T08:51:26
10;2020-04-23T00:18:59;99908;2020-04-22T05:07:47
